schemaVersion,recordType,source.name,source.url,content.title,content.authors,content.paper_url,content.github_url,content.github_stars,content.published_date,collectedAt
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04199v1,Compile by Training: Turning Natural-Language Specifications into Local Neural Functions,"[""Yuntian Deng"", ""Pengyu Nie"", ""Stuart Shieber""]",https://arxiv.org/abs/2609.04199v1,https://github.com/programasweights/compile-by-training,5.0,2026-09-03T17:59:49Z,2026-09-06T13:58:59.294778Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04198v1,"Clean Engineering, Unstable Measurement: A Preregistered Reliability Failure of Black-Box LLM Observers on Shared Endpoints","[""Haoyaun Zhu"", ""Jie Zhang""]",https://arxiv.org/abs/2609.04198v1,,,2026-09-03T17:59:43Z,2026-09-06T13:58:59.294808Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04197v1,"ESPO: Error-Structured Prompt Optimization via Diagnose, Diversify, and Stabilize","[""Lihao Liu"", ""Peng Tang"", ""Kunwar Yashraj Singh"", ""Shabnam Ghadar""]",https://arxiv.org/abs/2609.04197v1,,,2026-09-03T17:59:37Z,2026-09-06T13:58:59.294832Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04190v1,"One Editor, Many Edits: A Unified Training-Free Framework for Diverse Video Editing","[""Adheesh Sunil Juvekar"", ""Onkar Kishor Susladkar"", ""Kiet A. Nguyen"", ""Muntasir Wahed"", ""Nabeel Bashir"", ""Xiaona Zhou"", ""Tianjiao Yu"", ""Vedant Shah"", ""Ismini Lourentzou""]",https://arxiv.org/abs/2609.04190v1,,,2026-09-03T17:59:01Z,2026-09-06T13:58:59.294851Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04183v1,Seeing Before Synthesizing: VLM-Guided Transition Event Discovery for Weakly-Supervised Dense Video Captioning,"[""Ye-Chan Kim"", ""Seunghee Choi"", ""SeungJu Cha"", ""Si-Woo Kim"", ""Hwiseon Kim"", ""Hyungee Kim"", ""Dong-Jin Kim""]",https://arxiv.org/abs/2609.04183v1,,,2026-09-03T17:58:02Z,2026-09-06T13:58:59.294857Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04180v1,Knowledge Acquisition During Pre-training? Large Language Models Learn Better With Auxiliary Views,"[""Joseph Lee"", ""Yidi Huang"", ""Dokyoon Kim"", ""Shu Yang"", ""Li Shen""]",https://arxiv.org/abs/2609.04180v1,https://github.com/jiosephlee/auxiliary-views-knowledge-acquisition,2.0,2026-09-03T17:57:02Z,2026-09-06T13:58:59.294863Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04177v1,A Computationally Feasible Framework for Causal Probabilistic Explanation,"[""Rafal Urbaniak"", ""Sam Witty"", ""Daniel Waxman"", ""Andy Zane"", ""Poorva Garg"", ""Emily Bunnapradist"", ""Sankaran Vaidyanathan"", ""Jack Feser"", ""Drew Lehe"", ""Eli Bingham""]",https://arxiv.org/abs/2609.04177v1,,,2026-09-03T17:55:43Z,2026-09-06T13:58:59.294879Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04172v1,Rethinking On-Policy Distillation of Large Language Models II: One Training Example,"[""Zixuan Fu"", ""Bingxiang He"", ""Yuxin Zuo"", ""Haohuan Huang"", ""Jinqian Zhang"", ""Ruhang Xiao"", ""Cheng Qian"", ""Qinyu Luo"", ""Huan-ang Gao"", ""Yudong Wang"", ""Zhiyuan Liu"", ""Ning Ding"", ""Chaojun Xiao""]",https://arxiv.org/abs/2609.04172v1,https://github.com/Thinking-Space/One-Shot-OPD,42.0,2026-09-03T17:54:38Z,2026-09-06T13:58:59.294895Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04170v1,A Case Study on Emergent Cheating and Whistleblowing in Autonomous Research Swarms,"[""Davide Paglieri"", ""Logan Cross"", ""Tim Genewein"", ""Joel Z. Leibo"", ""Nenad Tomasev"", ""Alexander Sasha Vezhnevets""]",https://arxiv.org/abs/2609.04170v1,https://github.com/FengxianJi/The-Library-of-AI-Scientist,16.0,2026-09-03T17:54:09Z,2026-09-06T13:58:59.294902Z
1.0,RESEARCH_PAPER,arXiv,https://arxiv.org/abs/2609.04167v1,SWE-Gate: Passing Functional Tests Is Not Enough for Software Engineering Agents,"[""Xin He"", ""Yanlin Wang"", ""Mingwei Liu"", ""Jiachi Chen"", ""Hongyu Zhang"", ""Guanbin Li""]",https://arxiv.org/abs/2609.04167v1,https://github.com/KevinZhangNothing/swe-review-plugin,1.0,2026-09-03T17:53:34Z,2026-09-06T13:58:59.294908Z
